total,url,exchangeId,instrumentType,symbolTicker,symbolExchangeTicker,normalizedTicker,symbolEsignalTicker,instrumentName,micCode
6703,https://www.nyse.com/quote/XNCM:LSTA,564,COMMON_STOCK,LSTA,LSTA,LSTA,LSTA,LISATA THERAPEUTICS INC,XNCM
6703,https://www.nyse.com/quote/XNGS:LSTR,564,COMMON_STOCK,LSTR,LSTR,LSTR,LSTR,LANDSTAR SYSTEM INC,XNGS
6703,https://www.nyse.com/quote/XNCM:LTBR,564,COMMON_STOCK,LTBR,LTBR,LTBR,LTBR,LIGHTBRIDGE CORPORATION,XNCM
6703,https://www.nyse.com/quote/XNYS:LTC,558,REIT,LTC,LTC,LTC,LTC,LTC PROPERTIES INC,XNYS
6703,https://www.nyse.com/quote/XNYS:LTH,558,COMMON_STOCK,LTH,LTH,LTH,LTH,LIFE TIME GROUP HLDGS INC,XNYS
6703,https://www.nyse.com/quote/XNYS:LTM,558,DEPOSITORY_RECEIPT,LTM,LTM,LTM,LTM,LATAM AIRLINES GROUP SA SPON ADS EACH REP 2000 SHS,XNYS
6703,https://www.nyse.com/quote/XNCM:LTRN,564,COMMON_STOCK,LTRN,LTRN,LTRN,LTRN,LANTERN PHARMA INC,XNCM
6703,https://www.nyse.com/quote/XNCM:LTRX,564,COMMON_STOCK,LTRX,LTRX,LTRX,LTRX,LANTRONIX INC,XNCM
6703,https://www.nyse.com/quote/XNMS:LTRY,564,COMMON_STOCK,LTRY,LTRY,LTRY,LTRY,LOTTERY COM INC,XNMS
6703,https://www.nyse.com/quote/XNYS:LU,558,DEPOSITORY_RECEIPT,LU,LU,LU,LU,LUFAX HLDG LTD SPON ADS EACH REP 2 ORD SHS CL A (R/S),XNYS
6703,https://www.nyse.com/quote/XNCM:LUCD,564,COMMON_STOCK,LUCD,LUCD,LUCD,LUCD,LUCID DIAGNOSTICS INC,XNCM
6703,https://www.nyse.com/quote/XNYS:LUCK,558,COMMON_STOCK,LUCK,LUCK,LUCK,LUCK,LUCKY STRIKE ENTERTAINMENT CORPORAT,XNYS
6703,https://www.nyse.com/quote/XNCM:LUCY,564,COMMON_STOCK,LUCY,LUCY,LUCY,LUCY,INNOVATIVE EYEWEAR INC,XNCM
6703,https://www.nyse.com/quote/XASE:LUD,545,COMMON_STOCK,LUD,LUD,LUD,LUD,LUDA TECHNOLOGY GROUP LIMITED,XASE
6703,https://www.nyse.com/quote/XNGS:LULU,564,COMMON_STOCK,LULU,LULU,LULU,LULU,LULULEMON ATHLETICA INC,XNGS
6703,https://www.nyse.com/quote/XNYS:LUMN,558,COMMON_STOCK,LUMN,LUMN,LUMN,LUMN,LUMEN TECHNOLOGIES INC,XNYS
6703,https://www.nyse.com/quote/XNGS:LUNG,564,COMMON_STOCK,LUNG,LUNG,LUNG,LUNG,PULMONX CORPORATION,XNGS
6703,https://www.nyse.com/quote/XNMS:LUNR,564,COMMON_STOCK,LUNR,LUNR,LUNR,LUNR,INTUITIVE MACHINES INC,XNMS
6703,https://www.nyse.com/quote/XNYS:LUV,558,COMMON_STOCK,LUV,LUV,LUV,LUV,SOUTHWEST AIRLINES CO,XNYS
6703,https://www.nyse.com/quote/XNYS:LUXE,558,DEPOSITORY_RECEIPT,LUXE,LUXE,LUXE,LUXE,LUXEXPERIENCE B V SPON ADS EACH REP 1 ORD SHS,XNYS
6703,https://www.nyse.com/quote/XNMS:LVLU,564,COMMON_STOCK,LVLU,LVLU,LVLU,LVLU,LULUS FASHION LOUNGE HLDGS INC,XNMS
6703,https://www.nyse.com/quote/XNCM:LVO,564,COMMON_STOCK,LVO,LVO,LVO,LVO,LIVEONE INC,XNCM
6703,https://www.nyse.com/quote/XNMS:LVRO,564,COMMON_STOCK,LVRO,LVRO,LVRO,LVRO,LAVORO LIMITED,XNMS
6703,https://www.nyse.com/quote/XNYS:LVS,558,COMMON_STOCK,LVS,LVS,LVS,LVS,LAS VEGAS SANDS CORP,XNYS
6703,https://www.nyse.com/quote/XNGS:LVTX,564,COMMON_STOCK,LVTX,LVTX,LVTX,LVTX,LAVA THERAPEUTICS NV,XNGS
6703,https://www.nyse.com/quote/XNYS:LVWR,558,COMMON_STOCK,LVWR,LVWR,LVWR,LVWR,LIVEWIRE GROUP INC,XNYS
